waypoint_index,solution_index,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,cf1,cf4,cf6,cfx,is_selected
54,0,-17.853634352156902,16.399637759422628,-24.90000041546696,-175.347168576688,52.9139945717804,-76.61241450295311,-1,-2,-1,6,0
54,1,-17.853634352156902,16.399637759422628,-24.90000041546696,4.65283142331201,-52.9139945717804,103.38758549704689,-1,0,1,7,1
55,0,-17.861102612803172,16.397495345368807,-24.900004426254704,-175.37465719155023,52.88710602818456,-76.59735396473471,-1,-2,-1,6,0
55,1,-17.861102612803172,16.397495345368807,-24.900004426254704,4.625342808449774,-52.88710602818456,103.40264603526529,-1,0,1,7,1
56,0,-17.861102612803172,16.397495345368807,-24.900004426254704,-175.37465719155023,52.88710602818456,-76.59735396473471,-1,-2,-1,6,0
56,1,-17.861102612803172,16.397495345368807,-24.900004426254704,4.625342808449774,-52.88710602818456,103.40264603526529,-1,0,1,7,1
57,0,-17.861102612803172,16.397495345368807,-24.900004426254704,-175.37465719155023,52.88710602818456,-76.59735396473471,-1,-2,-1,6,0
57,1,-17.861102612803172,16.397495345368807,-24.900004426254704,4.625342808449774,-52.88710602818456,103.40264603526529,-1,0,1,7,1
58,0,-17.861102612803172,16.397495345368807,-24.900004426254704,-175.37465719155023,52.88710602818456,-76.59735396473471,-1,-2,-1,6,0
58,1,-17.861102612803172,16.397495345368807,-24.900004426254704,4.625342808449774,-52.88710602818456,103.40264603526529,-1,0,1,7,1
59,0,-17.861102612803172,16.397495345368807,-24.900004426254704,-175.37465719155023,52.88710602818456,-76.59735396473471,-1,-2,-1,6,0
59,1,-17.861102612803172,16.397495345368807,-24.900004426254704,4.625342808449774,-52.88710602818456,103.40264603526529,-1,0,1,7,1
60,0,-17.861102612803172,16.397495345368807,-24.900004426254704,-175.37465719155023,52.88710602818456,-76.59735396473471,-1,-2,-1,6,0
60,1,-17.861102612803172,16.397495345368807,-24.900004426254704,4.625342808449774,-52.88710602818456,103.40264603526529,-1,0,1,7,1
61,0,-17.861102612803172,16.397495345368807,-24.900004426254704,-175.37465719155023,52.88710602818456,-76.59735396473471,-1,-2,-1,6,0
61,1,-17.861102612803172,16.397495345368807,-24.900004426254704,4.625342808449774,-52.88710602818456,103.40264603526529,-1,0,1,7,1
62,0,-17.861102612803172,16.397495345368807,-24.900004426254704,-175.37465719155023,52.88710602818456,-76.59735396473471,-1,-2,-1,6,0
62,1,-17.861102612803172,16.397495345368807,-24.900004426254704,4.625342808449774,-52.88710602818456,103.40264603526529,-1,0,1,7,1
63,0,-17.861102612803172,16.397495345368807,-24.900004426254704,-175.37465719155023,52.88710602818456,-76.59735396473471,-1,-2,-1,6,0
63,1,-17.861102612803172,16.397495345368807,-24.900004426254704,4.625342808449774,-52.88710602818456,103.40264603526529,-1,0,1,7,1
